car_ID,CarName,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,price
1,alfa-romero giulia,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,13495
2,alfa-romero stelvio,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,16500
3,alfa-romero Quadrifoglio,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,16500
4,audi 100 ls,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,13950
5,audi 100ls,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,17450
6,audi fox,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,15250
7,audi 100ls,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,17710
8,audi 5000,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,18920
9,audi 4000,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,23875
10,audi 5000s (diesel),two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,17859.167
11,bmw 320i,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,16430
12,bmw 320i,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,16925
13,bmw x1,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,20970
13,bmw x1,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,20970
14,bmw x3,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,21105
15,bmw z4,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,24565
16,bmw x4,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,30760
17,bmw x5,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,41315
18,bmw x3,four,sedan,rwd,front,110,197,70.9,56.3,3505,36880
19,chevrolet impala,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,5151
20,chevrolet monte carlo,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,6295
21,chevrolet vega 2300,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,6575
22,dodge rampage,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,5572
23,dodge challenger se,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,6377
24,dodge d200,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,7957
25,dodge monaco (sw),four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,6229
26,dodge colt hardtop,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,6692
27,dodge colt (sw),four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,7609
28,dodge coronet custom,two,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,8558
29,dodge dart custom,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,8921
30,dodge coronet custom (sw),two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,12964
31,honda civic,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,6479
32,honda civic cvcc,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,6855
33,honda civic,two,hatchback,fwd,front,93.7,150,64,52.6,1837,5399
34,honda accord cvcc,two,hatchback,fwd,front,93.7,150,64,52.6,1940,6529
35,honda civic cvcc,two,hatchback,fwd,front,93.7,150,64,52.6,1956,7129
36,honda accord lx,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,7295
37,honda civic 1500 gl,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,7295
38,honda accord,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,7895
39,honda civic 1300,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,9095
40,honda prelude,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,8845
41,honda accord,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,10295
42,honda civic,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,12945
43,honda civic (auto),two,sedan,fwd,front,96.5,169.1,66,51,2293,10345
44,isuzu MU-X,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,6785
45,isuzu D-Max ,two,sedan,fwd,front,94.5,155.9,63.6,52,1874,8916.5
46,isuzu D-Max V-Cross,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,8916.5
47,isuzu D-Max ,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,11048
48,jaguar xj,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,32250
48,jaguar xj,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,32250
49,jaguar xf,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,35550
50,jaguar xk,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,36000
