car_ID,enginetype,fueltype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
1,dohc,gas,four,130,mpfi,3.47,2.68,9,111,5000,21,27
2,dohc,gas,four,130,mpfi,3.47,2.68,9,111,5000,21,27
3,ohcv,gas,six,152,mpfi,2.68,3.47,9,154,5000,19,26
4,ohc,gas,four,109,mpfi,3.19,3.4,10,102,5500,24,30
5,ohc,gas,five,136,mpfi,3.19,3.4,8,115,5500,18,22
6,ohc,gas,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25
7,ohc,gas,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25
8,ohc,gas,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25
9,ohc,gas,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20
10,ohc,gas,five,131,mpfi,3.13,3.4,7,160,5500,16,22
11,ohc,gas,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29
12,ohc,gas,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29
13,ohc,gas,six,164,mpfi,3.31,3.19,9,121,4250,21,28
13,ohc,gas,six,164,mpfi,3.31,3.19,9,121,4250,21,28
14,ohc,gas,six,164,mpfi,3.31,3.19,9,121,4250,21,28
15,ohc,gas,six,164,mpfi,3.31,3.19,9,121,4250,20,25
16,ohc,gas,six,209,mpfi,3.62,3.39,8,182,5400,16,22
17,ohc,gas,six,209,mpfi,3.62,3.39,8,182,5400,16,22
18,ohc,gas,six,209,mpfi,3.62,3.39,8,182,5400,15,20
19,l,gas,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53
20,ohc,gas,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43
21,ohc,gas,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43
22,ohc,gas,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41
23,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
24,ohc,gas,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30
25,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
26,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
27,ohc,gas,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
28,ohc,gas,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30
29,ohc,gas,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30
30,ohc,gas,four,156,mfi,3.6,3.9,7,145,5000,19,24
31,ohc,gas,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54
32,ohc,gas,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38
33,ohc,gas,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42
34,ohc,gas,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34
35,ohc,gas,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34
36,ohc,gas,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34
37,ohc,gas,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34
38,ohc,gas,four,110,1bbl,3.15,3.58,9,86,5800,27,33
39,ohc,gas,four,110,1bbl,3.15,3.58,9,86,5800,27,33
40,ohc,gas,four,110,1bbl,3.15,3.58,9,86,5800,27,33
41,ohc,gas,four,110,1bbl,3.15,3.58,9,86,5800,27,33
42,ohc,gas,four,110,mpfi,3.15,3.58,9,101,5800,24,28
43,ohc,gas,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31
44,ohc,gas,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29
45,ohc,gas,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43
46,ohc,gas,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43
47,ohc,gas,four,119,spfi,3.43,3.23,9.2,90,5000,24,29
48,dohc,gas,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19
48,dohc,gas,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19
49,dohc,gas,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19
50,ohcv,gas,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17
51,ohc,gas,four,91,2bbl,3.03,3.15,9,68,5000,30,31
52,ohc,gas,four,91,2bbl,3.03,3.15,9,68,5000,31,38
53,ohc,gas,four,91,2bbl,3.03,3.15,9,68,5000,31,38
54,ohc,gas,four,91,2bbl,3.03,3.15,9,68,5000,31,38
55,ohc,gas,four,91,2bbl,3.08,3.15,9,68,5000,31,38
56,rotor,gas,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23
